,elevation,site_aspect,slope_deg,plant_diversity,day_of_year,days_since_col,in_euc_closp,out_euc_closp,in_understory_closp,out_understory_closp,in_litterdepth,out_litterdepth,in_litt_covp,in_plant_covp,in_moss_covp,in_bareg_covp,in_rock_covp,out_litt_covp,out_bareg_covp,out_log_covp,plants_dist,logs_diameter,BIO1,BIO12,BIO15
as.factor.names.L..Anepius_koebelei,0,0,0,-0.054242525,0.070286546,0.023741397,0,0,0.054815138,0.159121572,0.015118366,0,0,0,0,0,0.114070851,0,0,0,0,0,0.121991071,0,-0.010067453
as.factor.names.L..Cartodere_australica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023374945,0,0.078292093,0,0,0
as.factor.names.L..Cryptamorpha_triguttata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.factor.names.L..Decilaus_bryophilus,0,0,0,0.003301491,0,0,0,0,0,0,0,0,0,0.043350905,0,0,0.033472369,0,0,-0.04099751,-0.07222921,0,0.014858179,0,0
as.factor.names.L..Decilaus_striatus,-0.109496108,0,-0.028228953,0.070296443,-0.071491655,-0.134916918,0,-0.1365181,0,0,0.105291151,0.146556616,0,0,0.063459208,0,0,-0.011690194,0.054724285,0.008128235,0.117239043,0,0.009468161,0.059696285,0.001114203
as.factor.names.L..Diemenoma_commoda,-0.097799625,0,0,0.06514194,0,0.099153904,0,-0.017262819,0,0.005474795,0,0,0,0,0,0,0,0,-0.139263556,0,0,0,0,-0.118334996,-0.007508686
as.factor.names.L..Exithius_TFIC_sp_01,0.041869407,0,0,-0.169478379,0.020879476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017071585,0,-0.126784117,0,-0.08445077,0,0.078308968
as.factor.names.L..Geomela_bryophaga,0.037638833,0.058952522,0.031229499,-0.146421593,0,-0.127691477,0,0,0,-0.147751283,0,-0.010330172,0.51851794,-0.150540886,0.553299855,0.096949464,0,0,0.040328413,-0.019117139,0.070271468,0.015338351,-0.192143992,-0.122932104,0.004293092
as.factor.names.L..Lophixus_major,0,0,-0.001490248,0,0.046458366,0,0,0,0,0,0,0,0,0.070592077,0,0,0,0.059517849,0,0,0,0,0,0.051074341,-0.016004766
as.factor.names.L..Mandalotus_muscivorus,0,-0.097285688,0.095619123,0.183087137,-0.12576661,0.007001139,0,0.026838519,0,0,0,0,0,-0.030526973,0,0,0,0.110458416,0.09189839,0,0.046881511,0,0.079401795,0,0
as.factor.names.L..Nargomorphus_globulus,0,0,0,0,0,0,0.078160436,0,0,0,0,0,0,0,0,0,0.01837109,0,0,0,0,0,0,0,0
as.factor.names.L..Notoceryon_TFIC_sp_B,0.27007243,0,0,-0.128145871,-0.136923849,0.157430997,0.288621246,0,0,0.076119444,0,0,0.03705775,0,0,0,0,0,-0.007134444,-0.211121093,0,0,0,0,0
as.factor.names.L..Orchesia_pictipennis,-0.009994324,0.004544597,0.012834256,-0.120335417,0,-0.042393267,0,0,0,-0.010628099,0,0,-0.230247903,-0.009670306,0,0,-0.007579332,0.066691789,-0.026322671,-0.033933292,-0.001276501,-0.059990303,-0.05448639,-0.08865784,0.035545025
as.factor.names.L..Ptinella_TFIC_SP_01,0,0.026633139,0,0.225820647,0.030494855,-0.12479288,0,-0.051998533,0.13866408,0,0,0.010201926,0,0,0,0.06722925,-0.064251691,0,0,-0.300175024,0,0,-0.002086285,0,-0.152994117
as.factor.names.L..Quedius_inaqualipennis,-0.012933235,0,0.031077263,-0.070535276,0,0,0,0,0,0,-0.191379192,0,0,0,0,0,0,-0.044755027,0,0.049433516,0.123406435,0,0,0,0.077205612
as.factor.names.L..Sloaneana_tasmaniae,0.115131814,-0.021465674,-0.020439717,0,-0.037892703,0,0,-0.031665766,0,0,0.064537678,-0.124177634,0,-0.123395528,0,0,0.014442643,0,-0.0034889,0.000768737,0.023831512,-0.100915395,-0.045004606,-0.038453394,0
as.factor.names.L..Tasmanityrus_newtoni,-0.088508894,-0.037894627,0,0,0,-0.035025717,0,0,0,0,-0.052427883,0,0,0,0,0,0.031622956,0,0,0,0,0.051374051,0,0,0
as.factor.names.L..Xynotropis_TFIC_sp_01,0,0,0,0,0,0,0,0,0,-0.06763558,0,0,0,0,0,0,0,0,0.012664401,0,0,0,0,0,0
