species,home_range_km2
Loxandrus_subgagatinus,164202.2488
Adelium_licinoides,116812.4118
Mandalotus_cf._muscivorus,115925.9529
Mecyclothorax_ambiguus,113345.5903
Poropterus_albosctuellaris,109466.1471
Adelium_tenebroides,101527.6836
Prosopogmus_chalybeipennis,97966.19784
Cleobora_mellyi,94966.96972
Decilaus_acerosus,94410.1491
Quedius_inaqualipennis,92810.94422
Microcryptorhynchus_sp._(Miocalles-type)_pygmaeus,89569.97653
Acrossidius_tasmaniae,85883.87846
Adelium_abbreviatum,81741.6463
Spilotocyphon_spilotus,81594.38575
Coripera_deplanata,79843.45942
Cartodere_australica,79096.30753
Thalycrodes_pulchrum,78715.65501
Creophilus_erythrocephalus,78074.07643
Microchaetes_scoparius,75043.17667
Telura_vitticollis,73727.76995
Simodontus_australis,73150.46144
Misc._beetles,72603.07612
UNKNOWN_SPECIES,71492.53366
Nargiotes_gordoni,71063.45461
Phyllotocus_bimaculatus,70700.81238
Ciconissus_gibbicollis,70565.00382
Paropsisterna_agricola,69856.79708
Rhyzobius_alphabeticus,69851.51779
Decilaus_BA2_(unsorted),69019.82199
STAPHYLINIDAE_indet._,68972.60263
Mandalotus_muscivorus,68697.18578
Mandalotus_sp._,68257.27082
Pselaphinae_sp._,67609.68432
Roptoperus_fuligneus,67149.04331
Notonomus_politulus,66822.59282
UNKNOWN_SPECIES-_Pieces,66278.52531
CURCULIONIDAE_indet._,66106.94258
Isopteron_obscurum,65169.27861
PTILIIDAE_indet._,65027.32805
Decilaus_nigronotatus,64656.7693
Paropsisterna_bimaculata,64576.65799
Aleocharininae_sp._,64515.61193
Pycnomerus_fuliginosus,64199.96128
Elatichrosis_exarata,64004.12278
Scydmaeninae_sp._,63644.43604
Orchesia_pictipennis,63346.63623
Cartodere_nodifer,63154.71151
Pselathaulax_CHANDLER_Type_1,63030.07374
Chylnus_ater,62884.17133
Storeus_albosignatus,61426.12529
Roptoperus_tasmaniensis,58421.50946
Carabidae_indet._,58066.64155
Phyllotocus_nigripennis,57965.71229
Quedius_baldiensis,57320.92465
Peltoschema_orphana,56374.81102
Metopum_sp._,56138.74109
Decilaus_BA1_(nr._striatus),55705.83061
Scopodes_intermedius,55250.40885
Staphylinidae_indet._,54057.12424
Cryptamorpha_cf._victoriae,53846.49968
Decilaus_nigronotatus_(profemurs_dentate),52973.80794
Acrotrichis_TFIC_SP_01,52857.11595
Diemenoma_tuberculifera,51722.69814
Quedius_sp._,51296.89222
Anomotarus_illawarrae,51139.51667
Tasmanica_sp._,50871.34959
Enischnelater_specularis,50698.74479
Decilaus_TFIC_sp_01_,50068.0508
Anorthorhinus_mA1,49748.35587
Mandalotus_arciferus,49694.82738
Decilaus_sp._,49188.53384
Exithius_cariosus,48330.00312
Saprosites_mendax,48317.09963
Staphylininae_sp.,48005.6633
Decilaus_striatus,47966.096
Sloaneana_tasmaniae,47847.51844
Ptinus_exulans,47763.29713
Lestignathus_cursor,47740.96206
Brycopia_caeliodes,47094.91748
Aspidiphorus_humeralis,46496.32468
Sloaneana_tasmaniae_,46489.73312
Pentagonica_vittipennis,46353.66893
Hemiodoecus_leai,45960.80021
